xxx_3278759623	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
11225	0	11225	1	{{2,51264}}	{0,12}	{{9},{2,1},{1,480}}	{400250602,400350602,400150602,5001402,400130103,400130403,5001403}	1	0			0	0	51265	12	800	11221		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801018	Task12/Task12_25.Task12_25		600			1			
11226	0	11226	1	{{2,51265}}	{0,12}	{{9},{2,1},{1,480}}	{400250602,400150602,400350602,5001402,5001403,400130403}	1	0			0	0	51266	12	800	11222		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801018	Task12/Task12_26.Task12_26		600			1			
11227	0	11227	1	{{2,51266}}	{0,12}	{{9},{2,1},{1,480}}	{400150601,400250601,400350601}	1	0			0	0	51267	12	800	11223		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801018	Task12/Task12_27.Task12_27		600			1			
11228	0	11228	1	{{2,51267}}	{0,12}	{{9},{2,1},{1,480}}	{400121203,4001216,5001214,400121302,400130102,400150601,400350601,400250601}	1	0			0	0	11229	12	800	11224		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801018	Task12/Task12_28.Task12_28		600			1			
11229	1	11229	1	{{2,11228}}	{0,12}	{{9},{2,1},{1,360}}	{6001206}	1	0			0	0	51268	12	800	11221		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804109	1801018	Task12/Task12_29.Task12_29		600			1			
11231	0	11231	1	{{2,51271}}	{0,12}	{{9},{2,1},{1,480}}	{400150603,400250603,400350603,500140201,400130404,400130104}	1	0			0	0	11232	12	800	11231		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801022	Task12/Task12_31.Task12_31		600			1			
11232	0	11232	1	{{2,11231}}	{0,12}	{{9},{2,1},{1,480}}	{4001404,400250601,400130402,400350601,400150601,400130102,400250603,400130104,400130404,500100903}	1	0			0	0	51272	12	800	11231		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801022	Task12/Task12_32.Task12_32		600			1			
11233	0	11233	1	{{2,51272}}	{0,12}	{{9},{2,1},{1,480}}	{400250601,400150601,4001404,400130402,4009013,400350601,400130102}	1	0			0	0	51273	12	800	11232		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801022	Task12/Task12_33.Task12_33		600			1			
11234	0	11234	1	{{2,51273}}	{0,12}	{{9},{2,1},{1,480}}	{400250603,400350603,400150603,400130104}	1	0			0	0	51274	12	800	11233		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801021	Task12/Task12_34.Task12_34		600			1			
11235	3	11235	1	{{2,51274}}	{0,12}	{{9},{2,1},{1,480}}	{4001211,4001212,4001213,5001214,4001216}	1	0			0	0	51275	12	800	11233		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801021	Task12/Task12_35.Task12_35		600			1			
11236	0	11236	1	{{2,51275}}	{0,12}	{{9},{2,1},{1,480}}	{400130104,400350603,400130404,5001403,400130103,4001213,4001212}	1	0			0	0	51276	12	800	11234		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1801021	Task12/Task12_36.Task12_36		600			1			
11237	0	11237	1	{{2,51276}}	{0,12}	{{9},{2,1},{1,480}}	{500140201,400350603,4001211,4001213,4001212,5001204,5001209,400130104,400130404}	1	0			0	0	51277	12	800	11235		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1801020	Task12/Task12_37.Task12_37		600			1			
11238	0	11238	1	{{2,51277}}	{0,12}	{{9},{2,1},{1,480}}	{400801301,400901302}	1	0			0	0	11239	12	800	11234		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1801020	Task12/Task12_38.Task12_38		600			1			
11239	1	11239	1	{{2,11238}}	{0,12}	{{9},{2,1},{1,360}}	{6001207}	1	0			0	0	51278	12	800	11235		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804124	1801020	Task12/Task12_39.Task12_39		600			1			
11301	0	11301	1	{{2,51351}}	{0,12}	{{9},{2,1},{1,480}}	{400150601,400250601,400130102,400350601,400130402}	1	0			0	0	51352	12	800	11301		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803056	Task13/Task13_01.Task13_01		600			1			
11302	0	11302	1	{{2,51352}}	{0,12}	{{9},{2,1},{1,480}}	{4001004,4002003,4001008,4001005,4001002,4001017,4002002}	1	0			0	0	51353	12	800	11302		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803057	Task13/Task13_02.Task13_02		600			1			
11303	0	11303	1	{{2,51353}}	{0,12}	{{9},{2,1},{1,480}}	{4002002,4002004,4003003,4001005,4001008,500101002}	1	0			0	0	51301	12	800	11303		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803057	Task13/Task13_03.Task13_03		600			1			
11304	0	11304	1	{{2,51301}}	{0,12}	{{9},{2,1},{1,480}}	{4001108,4001106,4001116,4002102,4001103,500110901}	1	0			0	0	51354	12	800	11304		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803058	Task13/Task13_04.Task13_04		600			1			
11305	0	11305	1	{{2,51354}}	{0,12}	{{9},{2,1},{1,480}}	{4001211,4001213,4001216,5001214}	1	0			0	0	51355	12	800	11305		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803058	Task13/Task13_05.Task13_05		600			1			
11306	0	11306	1	{{2,51355}}	{0,12}	{{9},{2,1},{1,480}}	{5001402,400121203,4001015,400150602,400250602,400130601,4001112,400110601,4001102,5001111,4001108,4002103,500110902}	1	0			0	0	51302	12	800	11306		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803059	Task13/Task13_06.Task13_06		600			1			
11307	0	11307	1	{{2,51302}}	{0,12}	{{9},{2,1},{1,480}}	{400130401,400130101,400111601,500130901}	1	0			0	0	51356	12	800	11307		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803059	Task13/Task13_07.Task13_07		600			1			
11308	1	11308	1	{{2,51356}}	{0,12}	{{9},{2,1},{1,600}}	{6001401,5001018,400121701,5001118}	1	0			0	0	51357	12	800	11308		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}	1804138	1803060	Task13/Task13_08.Task13_08		1200			1			
11311	0	11311	1	{{2,51361}}	{0,12}	{{9},{2,1},{1,480}}	{4001108,4003102,4001104,4001103,4001106,4001112,4001107,4001116,4002003,4002004,5001001,4001005,4001002,4001008}	1	0			0	0	51362	12	800	11309		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803062	Task13/Task13_11.Task13_11		600			1			
11312	0	11312	1	{{2,51362}}	{0,12}	{{9},{2,1},{1,600}}	{4001004,4003003,4003007,4002002,4009013,4001006,4001005,4001103,4001114,4001108,400110701,4003102,4001116,4001106,5001110,5001118,5001117,5001101,5001113,500110901,5001111}	1	0			0	0	51363	12	800	11309		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803062	Task13/Task13_12.Task13_12		900			1			
11313	0	11313	1	{{2,51363}}	{0,12}	{{9},{2,1},{1,480}}	{4001213,4001212,4001211,4001215,4001216,4001108,4001103,5001507}	1	0			0	0	51364	12	800	11310		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803062	Task13/Task13_13.Task13_13		600			1			
11314	0	11314	1	{{2,51311}}	{0,12}	{{9},{2,1},{1,360}}	{400160202,4001003,4002007,400121102,4001006,4001216,4001004,400121203,5001214,4001215,4001213,4001002,4002002,5001507}	1	0			0	0	51365	12	800	11311		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803062	Task13/Task13_14.Task13_14		600			1			
11315	0	11315	1	{{2,51365}}	{0,12}	{{9},{2,1},{1,480}}	{400350601,400130402,4008013,400150601,4001002,4001003,4001005,4001112,5001111,4001215,4001213}	1	0			0	0	11316	12	800	11312		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803062	Task13/Task13_15.Task13_15		600			1			
11316	0	11316	1	{{2,11315}}	{0,12}	{{9},{2,1},{1,480}}	{400250601,400150601,4001002,4003003,4003103,4002104,4001404,4003006,4001005,4003004,4003007,5002010,5001507,400111401,4001213}	1	0			0	0	51366	12	800	11312		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803062	Task13/Task13_16.Task13_16		600			1			
11317	0	11317	1	{{2,51367}}	{0,12}	{{9},{2,1},{1,480}}	{400350601,4001002,4001216,400111401,5001117,400110201,4001107,400100801}	1	0			0	0	11318	12	800	11311		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803062	Task13/Task13_17.Task13_17		600			1			
11318	0	11318	1	{{2,11317}}	{0,12}	{{9},{2,1},{1,480}}	{400110802,400110201,4001104,5003110,400111401,5001117,4001116,5001118,4001103,5002110}	1	0			0	0	51368	12	800	11311		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803062	Task13/Task13_18.Task13_18		600			1			
11319	0	11319	1	{{2,51368}}	{0,12}	{{9},{2,1},{1,480}}	{400130403,400150602,400250602,400130103,400350602,400110601,400110201,5001118,4001103,400111201}	1	0			0	0	51369	12	800	11311		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803062	Task13/Task13_19.Task13_19		600			1			
11320	0	11320	1	{{2,51369}}	{0,12}	{{9},{2,1},{1,480}}	{4001004,4001005,4002002,4001017,4001212,400121302,4001216,4001211,4001215,5001208,4001107,500110901,4001112,4001103,400111401,400110201,400110401,400100304,4001015,4001016,500201003}	1	0			0	0	11321	12	800	11311		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803062	Task13/Task13_20.Task13_20		600			1			
11321	0	11321	1	{{2,11320}}	{0,12}	{{9},{2,1},{1,480}}	{4008013,4001004,4001006,4002002,4001002,4001215,4001211,4001212,5001209,5001214,5002010,400100304,400121302,400111401,4003103,400110201,5001507}	1	0			0	0	51370	12	800	11311		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803062	Task13/Task13_21.Task13_21		600			1			
11322	1	11322	1	{{2,51370}}	{0,12}	{{9},{2,1},{1,360}}	{6001502,6002502}	1	0			0	0	51371	12	800	11311		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804142	1803063	Task13/Task13_22.Task13_22		600			1			
11331	0	11331	1	{{2,51381}}	{0,12}	{{9},{2,1},{1,480}}	{400130102,4001404,400130402}	1	0			0	0	11332	12	800	11331		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803082	Task13/Task13_31.Task13_31		600			1			
11332	0	11332	1	{{2,11331}}	{0,12}	{{9},{2,1},{1,480}}	{400150601,500100901,400130102,4001404}	1	0			0	0	51382	12	800	11332		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803082	Task13/Task13_32.Task13_32		600			1			
11333	0	11333	1	{{2,51382}}	{0,12}	{{9},{2,1},{1,480}}	{500120601,400121203}	1	0			0	0	51383	12	800	11333		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803083	Task13/Task13_33.Task13_33		600			1			
11334	0	11334	1	{{2,51383}}	{0,12}	{{9},{2,1},{1,480}}	{4001006,4001004,4001005,4003007,4001002,4003003,4003013,5001001}	1	0			0	0	51384	12	800	11334		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803083	Task13/Task13_34.Task13_34		600			1			
11335	0	11335	1	{{2,51384}}	{0,12}	{{9},{2,1},{1,600}}	{400250601,4001116,4002103,500110901,5003110,4001112}	1	0			0	0	51385	12	800	11335		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803084	Task13/Task13_35.Task13_35		900			1			
11336	0	11336	1	{{2,51385}}	{0,12}	{{9},{2,1},{1,480}}	{400250601,4001404,400130102,400130402,400150601,400350601,500100901}	1	0			0	0	51386	12	800	11336		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803084	Task13/Task13_36.Task13_36		600			1			
11337	0	11337	1	{{2,51386}}	{0,12}	{{9},{2,1},{1,480}}	{4001008,4003006,4001004,4001007,4009013,4001017,4001003}	1	0			0	0	51387	12	800	11337		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803085	Task13/Task13_37.Task13_37		600			1			
11338	1	11338	1	{{2,51387}}	{0,12}	{{9},{2,1},{1,360}}	{6001503}	1	0			0	0	51388	12	800	11338		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}	1804145	1803085	Task13/Task13_38.Task13_38		600			1			
11401	0	11401	1	{{2,51451}}	{0,12}	{{9},{2,1},{1,480}}	{4001006,4001002,4002007,4002004,4002003,4001005,4002002,5001001,5001009}	1	0			0	0	11402	12	800	11401		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803089	Task14/Task14_01.Task14_01		600			1			
11402	0	11402	1	{{2,11401}}	{0,12}	{{9},{2,1},{1,480}}	{4001007,4003003,4002004,4001006,4001005,4001002,5001010}	1	0			0	0	51452	12	800	11402		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803089	Task14/Task14_02.Task14_02		600			1			
11403	0	11403	1	{{2,51452}}	{0,12}	{{9},{2,1},{1,480}}	{400121102,400121302,400121203,4001215,4001216,5001214}	1	0			0	0	51453	12	800	11403		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803090	Task14/Task14_03.Task14_03		600			1			
11404	0	11404	1	{{2,51453}}	{0,12}	{{9},{2,1},{1,480}}	{4001215,4001211,4001212,4001213,5001214}	1	0			0	0	51454	12	800	11404		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803090	Task14/Task14_04.Task14_04		600			1			
11405	0	11405	1	{{2,51454}}	{0,12}	{{9},{2,1},{1,480}}	{4002603,4001605,4001604,4001603,4003002}	1	0			0	0	51455	12	800	11405		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803090	Task14/Task14_05.Task14_05		600			1			
11406	0	11406	1	{{2,51455}}	{0,12}	{{9},{2,1},{1,480}}	{4002605,4003002}	1	0			0	0	51456	12	800	11406		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803091	Task14/Task14_06.Task14_06		600			1			
11407	0	11407	1	{{2,51456}}	{0,12}	{{9},{2,1},{1,480}}	{4002003,4001005,4001002,4003004,4001006,4003002,4002604,5003010}	1	0			0	0	51457	12	800	11407		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803091	Task14/Task14_07.Task14_07		600			1			
11408	0	11408	1	{{2,51457}}	{0,12}	{{9},{2,1},{1,480}}	{4003002,4001604,4002605,5003010}	1	0			0	0	11409	12	800	11408		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803091	Task14/Task14_08.Task14_08		600			1			
11409	1	11409	1	{{2,11408}}	{0,12}	{{9},{2,1},{1,600}}	{6001601}	1	0			0	0	51458	12	800	11409		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804153	1803092	Task14/Task14_09.Task14_09		600			1			
11410	0	11410	1	{{2,51462}}	{0,12}	{{9},{2,1},{1,600}}	{4001301,5001307,4001304,4001212,400121302,4001216,4001211,5001214}	1	0			0	0	11411	12	800	11410		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803093	Task14/Task14_10.Task14_10		600			1			
11411	0	11411	1	{{2,11410}}	{0,12}	{{9},{2,1},{1,600}}	{4001211,4001301,4001212,4001310,4001306,4001215,4001213,5001307}	1	0			0	0	51463	12	800	11411		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803093	Task14/Task14_11.Task14_11		600			1			
11412	0	11412	1	{{2,51463}}	{0,12}	{{9},{2,1},{1,600}}	{4001304,400101301,400901302,400101602,5001607}	1	0			0	0	11413	12	800	11412		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803094	Task14/Task14_12.Task14_12		600			1			
11413	0	11413	1	{{2,11412}}	{0,12}	{{9},{2,1},{1,600}}	{400101301,4001301,4001304,5001601,4002603,5001607,4001215,4001212}	1	0			0	0	51464	12	800	11413		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803094	Task14/Task14_13.Task14_13		600			1			
11414	0	11414	1	{{2,51464}}	{0,12}	{{9},{2,1},{1,600}}	{4002605,400300201,4001602,4001604,4001605}	1	0			0	0	51465	12	800	11414		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803095	Task14/Task14_14.Task14_14		600			1			
11415	0	11415	1	{{2,51465}}	{0,12}	{{9},{2,1},{1,600}}	{4001603,4001604,4002603,400300201,400901302,4001605,5003010}	1	0			0	0	51466	12	800	11415		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803095	Task14/Task14_15.Task14_15		600			1			
11416	0	11416	1	{{2,51466}}	{0,12}	{{9},{2,1},{1,600}}	{4001603,4002603,4001605,400300201,400101602,400901302,4001602,5003010,5001601}	1	0			0	0	11417	12	800	11416		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803095	Task14/Task14_16.Task14_16		600			1			
11417	1	11417	1	{{2,11416}}	{0,12}	{{9},{2,1},{1,600}}	{6001602}	1	0			0	0	51467	12	800	11417		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}	1804154	1803096	Task14/Task14_17.Task14_17		600			1			
11421	0	11421	1	{{2,51471}}	{0,12}	{{9},{2,1},{1,600}}	{4001103,4001114,4001108,4002104,4001107,4001116,4001104,5001118}	1	0			0	0	11422	12	800	21421		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803099	Task14/Task14_21.Task14_21		600						
11422	0	11422	1	{{2,11421}}	{0,12}	{{9},{2,1},{1,600}}	{4001211,4001212,4001216,4001213,400101602,4001605,4001604,4001602,5001601,4002603}	1	0			0	0	51472	12	800	21422		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803099	Task14/Task14_22.Task14_22		600			1			
11423	0	11423	1	{{2,51472}}	{0,12}	{{9},{2,1},{1,600}}	{4001108,4001104,4001114,4001605,4003002,4001602,500160701,4002603,4001604}	1	0			0	0	11424	12	800	21423		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803100	Task14/Task14_23.Task14_23		600			1			
11424	0	11424	1	{{2,11423}}	{0,12}	{{9},{2,1},{1,600}}	{4001107,4001108,4001116,4001104,4001213,5001207,4001212,4001602,5003010,4001604,4001605,4003002}	1	0			0	0	11425	12	800	21424		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803101	Task14/Task14_24.Task14_24		600			1			
11425	0	11425	1	{{2,11424}}	{0,12}	{{9},{2,1},{1,600}}	{4001216,4001213,4001212,400101602,4001602,4001604,4001603,4003002,4001605}	1	0			0	0	11426	12	800	21425		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803101	Task14/Task14_25.Task14_25		600			1			
11426	0	11426	1	{{2,11425}}	{0,12}	{{9},{2,1},{1,600}}	{4001604,4001605,4001602,4001603,4001213,4001212,4001211,4001216}	1	0			0	0	51473	12	800	21426		{}	{1028}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803102	Task14/Task14_26.Task14_26		600			1			
11427	0	11427	1	{{2,51475}}	{0,12}	{{9},{2,1},{1,600}}	{4001606,4001602,4001604,4001605,4003002,5003010,4002603,4002605,4002604}	1	0			0	0	11428	12	800	21427		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803103	Task14/Task14_27.Task14_27		600			1			
11428	0	11428	1	{{2,11427}}	{0,12}	{{9},{2,1},{1,600}}	{4001604,4002603,4001602,4001605,4001603,5001312,4003002,500160701}	1	0			0	0	51476	12	800	21428		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803103	Task14/Task14_28.Task14_28		600			1			
11429	1	11429	1	{{2,51477}}	{0,12}	{{9},{2,1},{1,600}}	{6001603}	1	0			0	0	51478	12	800	21429		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}	1804159	1803104	Task14/Task14_29.Task14_29		600			1			{{8000136,85},{8000137,70}}
11501	0	11501	1	{{2,51551}}	{0,12}	{{9},{2,1},{1,600}}	{4001407,400130405,400131005,400130105,500130705}	1	0			0	0	51552	12	800	21501		{}	{1026}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803111	Task15/Task15_01.Task15_01		600			1			
11502	0	11502	1	{{2,51552}}	{0,12}	{{9},{2,1},{1,600}}	{400130405,400131005,5001214}	1	0			0	0	51553	12	800	21502		{}	{1027}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803112	Task15/Task15_02.Task15_02		600			1			
11503	0	11503	1	{{2,51553}}	{0,12}	{{9},{2,1},{1,600}}	{4001211,400121203,4001215,400121302,5001203}	1	0			0	0	51554	12	800	21503		{}	{1028}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,3,1,3,2}}		1803112	Task15/Task15_03.Task15_03		600			1			
11504	0	11504	1	{{2,51555}}	{0,12}	{{9},{2,1},{1,600}}	{400121302,4001215,5001214,400121203,4001216,5001405}	1	0			0	0	51556	12	800	21504		{}	{1026}	{1040}		{{4,3,1,1,1200},{4,3,3,1,12},{5,1,1,2,1}}		{{4,3,2,1,50},{5,1,1,3,2}}		1803112	Task15/Task15_04.Task15_04		600			1			
11505	0	11505	1	{{2,51557}}	{0,12}	{{9},{2,1},{1,600}}	{4001407,400130405,400131005,400130105,400121302,4001212,5001203,400121102}	1	0			0	0	11506	12	800	21505		{}	{1027}	{1041}		{{4,3,1,1,1200},{4,3,3,1,12},{5,2,1,2,1}}		{{4,3,2,1,50},{5,2,1,3,2}}		1803113	Task15/Task15_05.Task15_05		600			1			
